city,country,station_id,station_name,lat,lon,elevation,distance_to_city_km,category,ndvi_mean,n_days,bias,mae,rmse,std_error,correlation,error_p05,error_p25,error_p50,error_p75,error_p95,mean_station_temp,mean_era5_temp,bias_Winter,rmse_Winter,n_days_Winter,bias_Spring,rmse_Spring,n_days_Spring,bias_Summer,rmse_Summer,n_days_Summer,bias_Fall,rmse_Fall,n_days_Fall,distance_to_coast_km
Berlin,DEU,41,BERLIN-DAHLEM,52.46388888635122,13.301666666666664,51,7.9965077284965815,Urban,0.6461614173228347,1461,-0.7853615762761486,1.0366851326213316,1.2857979369126877,1.0184269484373256,0.9933781474225963,-2.4554870605468757,-1.4477478027343764,-0.7607238769531257,-0.122161865234375,0.852081298828125,15.29917864476386,14.513818,-0.5038943642064144,1.0329603174177893,361,-1.1356646164603854,1.5664684790136087,368,-0.9628525609555453,1.3484578424341702,368,-0.5309150444282281,1.1218258734276867,364,338.7991250279469
Berlin,DEU,54,POTSDAM,52.38333333077938,13.063888888888895,81,26.48059101534686,Suburban,0.6643700787401574,1461,-0.9492070192184291,1.2720286782517325,1.5842993760003492,1.2689021276207126,0.9919357099769857,-3.0098815917968764,-1.9130798339843764,-0.8882873535156257,-0.06558837890625036,1.0580871582031257,15.440999315537303,14.491792,-0.1362780119243421,0.9356996146710929,361,-1.6684952445652175,2.064718400888052,368,-1.5484731591266137,1.8935690692880693,368,-0.422392088502318,1.1275031410185021,364,361.31259928321003
Berlin,DEU,208,SZCZECIN,53.39527777541898,14.62277777777778,1,128.9166642419177,Rural,0.4911417322834645,1461,-0.9643133331862808,1.1580007355968729,1.504301191982163,1.1549609951497604,0.9906887073671176,-2.8088317871093746,-1.4826538085937493,-0.8920104980468748,-0.31376953125,0.6593566894531246,14.612320328542094,13.648007,-0.6955477812283587,1.3119430964107455,361,-1.3622185748556386,1.87484478554674,368,-1.1227542877197265,1.576880644045064,368,-0.6684038937746823,1.1437728125769115,364,182.97938494107487
Berlin,DEU,324,LINDENBERG,52.20944444185483,14.120277777777773,98,58.74997346031566,Rural,0.5698818897637795,1461,-0.538958794543549,0.9739325991401437,1.2105203017033173,1.084291258324709,0.9935315046603982,-2.1696411132812514,-1.2459533691406257,-0.605194091796875,0.10667114257812571,1.3406799316406248,15.020123203285419,14.481164,-0.08767289349246886,0.9730288043284655,361,-0.8512951228929603,1.3993630932301155,368,-0.9507610155188518,1.4419105026255452,368,-0.254429190499442,0.9278443486460202,364,324.779086351857
Berlin,DEU,475,NEURUPPIN,52.905277775326994,12.808333333333335,38,60.248351193247984,Rural,0.5551181102362205,1423,-0.9969219580386947,1.2450373399617884,1.5322816943482949,1.1640386609614544,0.9932312737360816,-2.840589599609376,-1.8170349121093743,-1.0145385742187507,-0.20171813964843732,0.8584973144531237,15.198735066760365,14.201813,-0.23172943776606034,0.9116173852597647,323,-1.451094851286515,1.8409184430917944,368,-1.6255121314007304,1.928071929753553,368,-0.581263649070656,1.1210337236964607,364,336.51978166550515
Berlin,DEU,477,MAGDEBURG,52.10305555294382,11.58416666666667,76,131.67001218826877,Rural,0.5275590551181102,1461,-1.232250993273015,1.393792461418763,1.636024820649065,1.0765351579511828,0.9934583551748855,-2.8830749511718743,-2.0073303222656236,-1.2687438964843754,-0.5583435058593764,0.5813659667968754,15.913689253935662,14.681438,-0.6131496270937933,1.1274628282209176,361,-1.5846015100893764,1.9014167872086847,368,-1.643897131214971,1.9309338613832852,368,-1.073857653272021,1.4344984537169898,364,497.1536779776652
Berlin,DEU,482,LEIPZIG-SCHKEUDITZ,51.435833330577296,12.241388888888888,131,142.90415355721703,Rural,0.23868110236220472,1461,-0.7765998939550713,1.1132525371575015,1.3656566259216552,1.1237325958511355,0.9934559001941091,-2.4782653808593764,-1.534454345703125,-0.81011962890625,-0.10899658203124929,1.1208984375,15.459069130732376,14.682469,-0.21731154846022335,0.9343197964060391,361,-0.9404005465300187,1.3995801504312688,368,-1.4012258446734887,1.8281194763846478,368,-0.5341880882179344,1.1228691743594397,364,500.2790972204105
Berlin,DEU,779,SLUBICE,52.34833333077223,14.619444444444445,53,84.54176238935626,Rural,0.5103346456692913,1461,-0.8934106762812286,1.1702093125695157,1.550607320314304,1.267793580436752,0.9902307350125715,-2.773040771484375,-1.4723388671874993,-0.8431518554687507,-0.21358032226562496,0.9813049316406257,15.424845995893222,14.531436,-0.6708641326988833,1.4304477833364946,361,-1.1789882991624916,1.8335644484224805,368,-1.1397000851838484,1.687428174013745,368,-0.5764113206129807,1.1591529076873321,364,297.35072018598925
Berlin,DEU,2029,GORZOW WLKP,52.74083333085071,15.276944444444446,71,129.69955076839773,Rural,0.42765748031496065,1461,-0.6799934277544276,1.0602921983952558,1.4232078131266976,1.2506798367859893,0.9905812553494834,-2.5791076660156254,-1.2983215332031257,-0.6644226074218764,0.02117309570312642,1.2310424804687496,14.82580424366872,14.145811,-0.28799080042957925,1.308961812234518,361,-1.0123926245647927,1.6241405252770695,368,-1.0537728848664656,1.589814036853688,368,-0.354826405284169,1.0993371363063504,364,252.64468731498442
Berlin,DEU,2759,BERLIN-TEMPELHOF,52.46833333079652,13.403888888888888,48,3.696410392379684,Urban,0.5713582677165354,1461,-1.034553280307527,1.196869197273646,1.4461804405603556,1.0108594294097046,0.9939305443897477,-2.6638977050781243,-1.7153137207031257,-1.0312683105468743,-0.3827087402343743,0.6104064941406246,15.573442847364818,14.53889,-0.7235396028555662,1.2026635297550783,361,-1.2617190651271653,1.6353377886252531,368,-1.4106580983037535,1.683272864724794,368,-0.7331037081204929,1.1797200997021384,364,332.20181925957473
