Feature,Importance
elevation,0.29712378185972815
mean_station_temp,0.23266239035108088
lat,0.16797900684459643
distance_to_coast_km,0.08575572611352379
distance_to_city_km,0.08009514252737736
ndvi_mean,0.07747988895411279
lon,0.05890406334958063
