,bias,bias,mae,rmse,ndvi_mean,station_id
,mean,std,mean,mean,mean,count
category,,,,,,
Rural,-0.976,0.196,1.227,1.504,0.65,62
Suburban,-1.08,0.31,1.288,1.552,0.45,9
Urban,-0.951,0.126,1.148,1.396,0.25,15
